protection,BC,CE,CC,CJ,CR,DL,DC,DS,DV,CH,LB,LM,LV,MU,MS,MH,OM,OV,PA,PP,PSD,SS,SO,SAT,SC,SAU,SPOC,SY,TL,ADS,TS,NTS,TSabove,TSabove2,TSbelow,DSabove,DVabove,MUabove,otherTSabove2,DSbelow,DVbelow,OVbelow,otherTSbelow
N,0.0,0.0,0.0,91.9,54.8,0.0,0.0,693.0,520.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771.4,0.0,0.0,0.0,0.0,2048.4,0.0,73.5,0.0,0.0,7.5,26.0,5287.2,5059.5,227.7,4647.3,4647.3,203.3,693.0,134.5,0.0,3819.8,0.0,186.0,0.0,17.3
N,0.0,0.0,468.2,652.9,0.0,0.0,0.0,2406.5,681.1,0.0,871.3,0.0,0.0,879.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.6,197.0,0.0,154.3,0.0,0.0,6720.2,4589.6,2130.6,3333.8,3333.8,293.3,1968.9,456.9,439.8,468.2,0.0,139.1,0.0,154.3
N,0.0,14.9,0.0,151.5,0.0,0.0,0.0,838.7,342.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.7,0.0,0.0,81.4,0.0,1592.3,1180.8,411.5,855.5,855.5,30.1,629.0,226.5,0.0,0.0,0.0,30.1,0.0,0.0
N,0.0,34.1,0.0,356.4,19.7,0.0,0.0,178.1,198.0,0.0,110.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.4,0.0,0.0,74.0,0.0,0.0,0.0,0.0,970.5,376.2,594.3,322.4,322.4,53.8,178.1,144.3,0.0,0.0,0.0,53.8,0.0,0.0
N,0.0,0.0,0.0,48.3,0.0,0.0,0.0,928.6,306.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1406.8,1358.5,48.3,615.7,739.5,0.0,309.5,306.2,0.0,123.7,0.0,0.0,0.0,0.0
N,0.0,7.2,0.0,447.3,29.5,612.0,0.0,669.7,965.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0.0,0.0,0.0,0.0,3015.5,2246.6,768.8,1377.9,1377.9,781.0,616.5,761.4,0.0,0.0,53.2,115.9,0.0,612.0
N,0.0,31.9,0.0,667.6,48.8,0.0,0.0,0.0,399.4,0.0,0.0,0.0,0.0,822.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,0.0,0.0,0.0,0.0,1992.6,1222.1,770.5,776.8,776.8,134.6,100.7,264.8,411.4,0.0,0.0,134.6,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.6,714.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14113.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.4,923.4,0.0,670.7,670.7,133.6,208.6,462.0,0.0,0.0,0.0,133.6,0.0,0.0
Y,0.0,0.0,0.0,83.9,0.0,57.5,0.0,166.3,259.2,0.0,0.0,0.0,0.0,1203.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6,0.0,1819.1,1686.6,132.5,1369.9,1369.9,316.7,166.3,0.0,1203.6,0.0,0.0,259.2,0.0,57.5
Y,0.0,0.0,0.0,884.7,0.0,0.0,0.0,87.3,0.0,0.0,68.1,0.0,0.0,0.0,0.0,0.0,0.0,252.8,0.0,0.0,0.0,0.0,0.0,272.5,202.9,0.0,0.0,207.9,0.0,1976.1,340.1,1636.0,87.3,87.3,252.8,87.3,0.0,0.0,0.0,0.0,0.0,252.8,0.0
